ordinal,name,path,category,imageUrl
182,Dirt Outlaw Micro Sprint Car - Winged,cars\dirtmicrosprint\winged\outlaw,dirt_oval,https://images-static.iracing.com/img/cars/carid_182/dirtmicrosprint-small.jpg
183,Dirt Outlaw Micro Sprint Car - Non-Winged,cars\dirtmicrosprint\nonwinged\outlaw,dirt_oval,https://images-static.iracing.com/img/cars/carid_183/dirtmicrosprint-small.jpg
184,Chevrolet Corvette Z06 GT3.R,cars\chevyvettez06rgt3,sports_car,https://images-static.iracing.com/img/cars/carid_184/chevyvettez06rgt3-small.jpg
185,Ford Mustang GT3,cars\fordmustanggt3,sports_car,https://images-static.iracing.com/img/cars/carid_185/fordmustanggt3-small.jpg
186,Street Stock - Casino M2,cars\streetstock\streetstock2,oval,https://images-static.iracing.com/img/cars/carid_186/streetstockbodies-small.jpg
187,Street Stock - Eagle T3,cars\streetstock\streetstock3,oval,https://images-static.iracing.com/img/cars/carid_187/streetstockbodies-small.jpg
188,McLaren 720S GT3 EVO,cars\mclaren720sgt3,sports_car,https://images-static.iracing.com/img/cars/carid_188/mclaren720sgt3-small.jpg
189,BMW M4 G82 GT4 Evo,cars\bmwm4evogt4,sports_car,https://images-static.iracing.com/img/cars/carid_189/bmwm4evogt4-small.jpg
190,Supercars Ford Mustang Gen 3,cars\supercars\fordmustanggen3,sports_car,https://images-static.iracing.com/img/cars/carid_190/fordmustanggen3-small.jpg
191,Mini Stock,cars\ministock,oval,https://images-static.iracing.com/img/cars/carid_191/ministock-small.jpg
192,Supercars Chevrolet Camaro Gen 3,cars\supercars\chevycamarogen3,sports_car,https://images-static.iracing.com/img/cars/carid_192/chevycamarogen3-small.jpg
193,Dirt Mini Stock,cars\dirtministock,oval,https://images-static.iracing.com/img/cars/carid_193/dirtministock-small.jpg
194,Acura NSX GT3 EVO 22,cars\acuransxevo22gt3,sports_car,https://images-static.iracing.com/img/cars/carid_194/acuransxevo22gt3-small.jpg
195,BMW M2 CS Racing,cars\bmwm2csr,sports_car,https://images-static.iracing.com/img/cars/carid_195/bmwm2csr-small.jpg
196,Ferrari 499P,cars\ferrari499p,sports_car,https://images-static.iracing.com/img/cars/carid_196/ferrari499p-small.jpg
198,ARCA Chevrolet SS,cars\stockcars2\arcachevy25,oval,https://images-static.iracing.com/img/cars/carid_198/arcachevyss_small.jpg
199,ARCA Ford Mustang,cars\stockcars2\arcaford25,oval,https://images-static.iracing.com/img/cars/carid_199/arcafordmustang_small.jpg
200,ARCA Toyota Camry,cars\stockcars2\arcatoyota25,oval,https://images-static.iracing.com/img/cars/carid_200/arcatoyotacamry_small.jpg
201,Gen 4 Chevrolet Monte Carlo - 2003,cars\stockcars\chevymontecarlo03,oval,https://images-static.iracing.com/img/cars/carid_201/nascargen4chevrolet-small.jpg
202,Gen 4 Ford Taurus - 2003,cars\stockcars\fordtaurus03,oval,https://images-static.iracing.com/img/cars/carid_202/nascargen4ford-small.jpg
203,Ferrari 296 Challenge,cars\ferrari296challenge,sports_car,https://images-static.iracing.com/img/cars/carid_203/ferrari296challenge-small.jpg
204,Ford Mustang GT4,cars\fordmustanggt4,sports_car,https://images-static.iracing.com/img/cars/carid_204/fordmustanggt4-small.jpg
205,Dallara IL-15,cars\dallarail15,formula_car,https://images-static.iracing.com/img/cars/carid_205/dallarail15-small.jpg
206,Aston Martin Vantage GT3 EVO,cars\amvantageevogt3,sports_car,https://images-static.iracing.com/img/cars/carid_206/amvantageevogt3-small.jpg
207,FIA Cross Car,cars\crosscartn11,dirt_road,https://images-static.iracing.com/img/cars/carid_207/crosscartn11-small.jpg
208,Porsche 911 Cup (992.2),cars\porsche9922cup,sports_car,https://images-static.iracing.com/img/cars/carid_208/porsche9922cup-small.jpg
